customer_id,recency,frequency,monetary,cluster,segment,customer_name,region,customer_type
CUST-00093,36,21,25964.9,0,Champions,Michael Reyes,East,Corporate
CUST-00094,14,19,20914.8,0,Champions,Courtney Velasquez,West,Consumer
CUST-00095,65,15,18765.73,2,Loyal Customers,Robert Savage,Central,Consumer
CUST-00096,51,13,11311.67,1,Occasional / Low-Value,Corey Murphy,East,Corporate
CUST-00097,74,16,21087.69,2,Loyal Customers,Raymond Bell,North,Corporate
CUST-00098,42,22,23510.74,0,Champions,William Herrera,North,Consumer
CUST-00099,105,12,7860.65,3,At Risk,Shawn Green,East,Corporate
CUST-00100,24,14,10484.66,1,Occasional / Low-Value,Deborah Rodriguez,North,Consumer
CUST-00101,20,14,24364.29,2,Loyal Customers,Richard Graham,West,Consumer
CUST-00102,20,16,25786.63,0,Champions,Steven Lee,Central,Home Office
CUST-00103,40,18,14298.78,2,Loyal Customers,April Frost,Central,Home Office
CUST-00104,28,15,21487.63,2,Loyal Customers,Teresa Mclaughlin,Central,Corporate
CUST-00105,4,15,21820.0,2,Loyal Customers,Benjamin Beck,West,Consumer
CUST-00106,10,12,10557.08,1,Occasional / Low-Value,Mary Martinez,North,Consumer
CUST-00107,33,19,18250.27,2,Loyal Customers,Eric Ortiz,South,Corporate
CUST-00108,1,10,15324.4,1,Occasional / Low-Value,Kristen Lee,South,Home Office
CUST-00109,37,17,19715.59,2,Loyal Customers,Megan Orr,South,Corporate
CUST-00110,27,18,20588.3,2,Loyal Customers,Jennifer Bass,South,Consumer
CUST-00111,29,14,15859.29,2,Loyal Customers,Jeffrey Carpenter,South,Consumer
CUST-00112,25,22,22843.24,0,Champions,Jeremy Lowe,North,Consumer
CUST-00113,1,23,28487.48,0,Champions,Steven Flynn,Central,Consumer
CUST-00114,5,16,18272.73,2,Loyal Customers,Diane Beck,East,Consumer
CUST-00115,69,17,19517.19,2,Loyal Customers,Robert Potter,Central,Consumer
CUST-00116,40,17,26262.57,0,Champions,Robert Hernandez,North,Corporate
CUST-00117,29,15,17753.46,2,Loyal Customers,John Atkinson,North,Consumer
CUST-00118,9,14,16684.77,2,Loyal Customers,Stephen Johnston,West,Home Office
CUST-00119,32,20,22695.36,0,Champions,Kathleen Sanchez,West,Corporate
CUST-00120,11,18,24609.05,0,Champions,Stephanie Dalton,East,Consumer
CUST-00121,51,18,17752.46,2,Loyal Customers,Jeffery Thompson,Central,Corporate
CUST-00122,6,16,15467.4,2,Loyal Customers,Amber Wright,North,Consumer
CUST-00123,12,13,15244.63,1,Occasional / Low-Value,Casey Marshall,East,Consumer
CUST-00124,1,19,22255.02,0,Champions,Linda Dodson DVM,Central,Consumer
CUST-00125,4,19,16810.77,2,Loyal Customers,Stephanie Simmons,West,Corporate
CUST-00126,160,12,11648.869999999999,3,At Risk,Stephanie Manning,West,Consumer
CUST-00127,2,10,13831.29,1,Occasional / Low-Value,Paul Larsen,West,Consumer
CUST-00128,38,11,12992.68,1,Occasional / Low-Value,Kelly Sims,West,Corporate
CUST-00129,130,15,13289.88,3,At Risk,Micheal Young,North,Consumer
CUST-00130,15,15,14886.15,2,Loyal Customers,Joshua Taylor,West,Corporate
CUST-00131,7,16,14625.009999999998,2,Loyal Customers,Christian Lewis,Central,Consumer
CUST-00132,17,13,10740.56,1,Occasional / Low-Value,Joshua Perry,North,Corporate
CUST-00133,57,18,25837.88,0,Champions,Jean Carrillo,South,Home Office
CUST-00134,15,12,13487.03,1,Occasional / Low-Value,Spencer Johnston,South,Consumer
CUST-00135,57,10,11750.86,1,Occasional / Low-Value,Guy Molina,North,Corporate
CUST-00136,62,17,18058.04,2,Loyal Customers,Sara Medina,North,Home Office
CUST-00137,23,15,10784.05,1,Occasional / Low-Value,Lindsey Walker,Central,Corporate
CUST-00138,54,10,10422.189999999999,1,Occasional / Low-Value,John Price,East,Consumer
CUST-00139,4,13,13182.48,1,Occasional / Low-Value,Jennifer Martin,East,Corporate
CUST-00140,58,14,16902.02,2,Loyal Customers,Veronica Ferguson,Central,Consumer
CUST-00141,9,15,14745.32,2,Loyal Customers,Justin Johnson,North,Consumer
CUST-00142,40,15,17262.45,2,Loyal Customers,Sean White,West,Consumer
CUST-00143,15,19,20479.17,0,Champions,Daniel Murphy,South,Corporate
CUST-00144,107,11,10043.67,3,At Risk,Diana Bean,West,Consumer
CUST-00145,74,12,16563.170000000002,1,Occasional / Low-Value,Bradley Smith,Central,Consumer
CUST-00146,20,17,18300.22,2,Loyal Customers,Trevor Walker,Central,Home Office
CUST-00147,93,23,31716.9,0,Champions,Marissa Webster,South,Corporate
CUST-00148,95,12,25908.46,2,Loyal Customers,Alex Hernandez,North,Consumer
CUST-00149,33,16,21993.77,2,Loyal Customers,Brian Gould,West,Corporate
CUST-00150,49,11,13768.61,1,Occasional / Low-Value,Pamela Jackson,South,Consumer
CUST-00151,18,18,17492.57,2,Loyal Customers,Michelle Strickland,East,Corporate
CUST-00152,15,15,28091.829999999998,0,Champions,Ashley Johnson,South,Corporate
CUST-00153,116,18,27476.45,0,Champions,Susan Brooks,North,Corporate
CUST-00154,25,17,14187.41,2,Loyal Customers,Kevin Rivas,Central,Corporate
CUST-00155,20,13,18100.78,2,Loyal Customers,Raymond Jefferson,North,Corporate
CUST-00156,57,14,16898.74,2,Loyal Customers,Rebecca Knight,West,Consumer
CUST-00157,11,16,17941.39,2,Loyal Customers,Jeffrey Wood,South,Consumer
CUST-00158,7,10,14274.2,1,Occasional / Low-Value,Alexandria Fisher,East,Consumer
CUST-00159,44,14,14345.05,1,Occasional / Low-Value,Tyler Reid,Central,Corporate
CUST-00160,3,21,21566.78,0,Champions,Christian Thompson,South,Consumer
CUST-00161,5,19,27207.18,0,Champions,Debra Morton,West,Corporate
CUST-00162,8,16,18077.34,2,Loyal Customers,Julie Petersen,Central,Home Office
CUST-00163,18,15,12923.67,1,Occasional / Low-Value,Samuel Rivas,Central,Home Office
CUST-00164,22,13,10201.42,1,Occasional / Low-Value,Jerry Christensen,Central,Corporate
CUST-00165,2,20,27685.879999999997,0,Champions,Jamie Johnson,North,Corporate
CUST-00166,185,12,17299.4,3,At Risk,John Kelly,South,Consumer
CUST-00167,16,24,22907.37,0,Champions,Spencer Haynes,Central,Consumer
CUST-00168,100,11,14663.470000000001,3,At Risk,Kellie Lee,Central,Corporate
CUST-00169,2,21,27940.45,0,Champions,Katherine Chang,North,Consumer
CUST-00170,25,15,14592.380000000001,2,Loyal Customers,Michael West,West,Corporate
CUST-00171,4,19,25074.36,0,Champions,Daniel Holt,Central,Home Office
CUST-00172,22,9,8950.48,1,Occasional / Low-Value,Jackie Tran,West,Consumer
CUST-00173,41,18,17921.24,2,Loyal Customers,Patrick Rivera,East,Consumer
CUST-00174,62,9,10256.03,1,Occasional / Low-Value,Eric Hall,West,Home Office
CUST-00175,21,11,15906.17,1,Occasional / Low-Value,Bryan Herrera,West,Corporate
CUST-00176,31,16,20287.54,2,Loyal Customers,Cheryl Rodgers,Central,Consumer
CUST-00177,33,14,11676.68,1,Occasional / Low-Value,Vanessa Warren,West,Corporate
CUST-00178,19,16,15352.35,2,Loyal Customers,Dr. Elizabeth Ward,Central,Corporate
CUST-00179,6,18,23827.64,0,Champions,Joseph Hill,Central,Home Office
CUST-00180,5,25,35759.18,0,Champions,Melissa Martinez,South,Consumer
CUST-00181,23,17,20040.14,2,Loyal Customers,Ashley Smith,Central,Consumer
CUST-00182,4,11,12621.970000000001,1,Occasional / Low-Value,Jeremiah Lopez,West,Corporate
CUST-00183,93,14,20616.809999999998,2,Loyal Customers,Scott Wilson,West,Home Office
CUST-00184,32,17,20613.33,2,Loyal Customers,Benjamin Soto,Central,Consumer
CUST-00185,10,14,19194.15,2,Loyal Customers,Robert Avery,South,Home Office
CUST-00186,116,20,17387.41,3,At Risk,Bailey Duran DDS,Central,Consumer
CUST-00187,3,12,11353.66,1,Occasional / Low-Value,Patricia James,East,Corporate
CUST-00188,57,10,11761.230000000001,1,Occasional / Low-Value,Scott Branch,North,Home Office
CUST-00189,1,19,24122.41,0,Champions,Amy Choi,North,Corporate
CUST-00190,19,16,19376.57,2,Loyal Customers,Christine Clark,West,Consumer
CUST-00191,54,16,15878.57,2,Loyal Customers,David Arnold,West,Corporate
CUST-00192,33,9,7942.07,1,Occasional / Low-Value,Jerry Wheeler,South,Home Office
CUST-00193,2,15,21120.63,2,Loyal Customers,Dwayne Campbell,East,Consumer
CUST-00194,9,14,15589.26,2,Loyal Customers,Michael Bradshaw,West,Corporate
CUST-00195,6,13,13003.17,1,Occasional / Low-Value,Leah Lara,West,Corporate
CUST-00196,3,12,13242.58,1,Occasional / Low-Value,Joshua Holland,North,Corporate
CUST-00197,1,21,19519.329999999998,0,Champions,Charles Brown,Central,Consumer
CUST-00198,7,10,10970.82,1,Occasional / Low-Value,Paul Carroll,West,Consumer
CUST-00199,39,12,11687.68,1,Occasional / Low-Value,John Torres,North,Consumer
CUST-00200,262,13,17987.440000000002,3,At Risk,Kathryn Snyder,South,Consumer
CUST-00201,85,12,9335.06,1,Occasional / Low-Value,Stacy Navarro,Central,Consumer
CUST-00202,16,14,13238.94,1,Occasional / Low-Value,Brandon Hayden,Central,Home Office
CUST-00203,1,18,14985.35,2,Loyal Customers,Laurie Smith,West,Corporate
CUST-00204,47,10,11484.98,1,Occasional / Low-Value,Debra Williams,North,Consumer
CUST-00205,5,16,19636.48,2,Loyal Customers,Joseph Ramos,North,Corporate
CUST-00206,57,18,13965.63,2,Loyal Customers,Kevin Walters,North,Corporate
CUST-00207,6,16,26210.11,0,Champions,Julie Ortiz,East,Home Office
CUST-00208,23,14,17778.71,2,Loyal Customers,Shannon Rivera,East,Consumer
CUST-00209,16,13,15935.59,1,Occasional / Low-Value,Matthew Morales DDS,West,Consumer
CUST-00210,1,13,19177.81,2,Loyal Customers,Ernest Morris,South,Consumer
CUST-00211,102,12,15512.98,3,At Risk,Jose Travis,South,Consumer
CUST-00212,4,17,23881.17,0,Champions,Julia Brown,West,Consumer
CUST-00213,128,8,9870.33,3,At Risk,Peter Garrett,East,Corporate
CUST-00214,17,19,28275.55,0,Champions,Derek Anderson,North,Consumer
CUST-00215,1,14,11768.53,1,Occasional / Low-Value,Michael Martinez,Central,Corporate
CUST-00216,4,23,24364.579999999998,0,Champions,Cynthia Moore,Central,Home Office
CUST-00217,4,14,16958.18,2,Loyal Customers,Jason Walker,South,Consumer
CUST-00218,31,11,11917.210000000001,1,Occasional / Low-Value,Julia Wilson,North,Consumer
CUST-00219,10,17,20266.37,2,Loyal Customers,Timothy Carter,South,Corporate
CUST-00220,92,13,15750.119999999999,3,At Risk,Ruben Baird,North,Corporate
CUST-00221,4,15,21141.71,2,Loyal Customers,Charles Lee,North,Consumer
CUST-00222,105,12,11644.81,3,At Risk,Sherry Shields,North,Home Office
CUST-00223,1,16,20127.420000000002,2,Loyal Customers,Sarah Morgan,North,Corporate
CUST-00224,10,15,17273.23,2,Loyal Customers,Samantha Campbell,North,Consumer
CUST-00225,14,19,18645.52,2,Loyal Customers,Lauren Keller,Central,Consumer
CUST-00226,53,14,12622.36,1,Occasional / Low-Value,Joshua Reed,West,Corporate
CUST-00227,38,18,15294.220000000001,2,Loyal Customers,Jamie Cantu,Central,Home Office
CUST-00228,25,10,9682.48,1,Occasional / Low-Value,Michael Armstrong,Central,Corporate
CUST-00229,30,14,14212.22,1,Occasional / Low-Value,Jennifer Flores,South,Consumer
CUST-00230,20,21,20420.78,0,Champions,Roberta Hughes,North,Consumer
CUST-00231,1,19,21390.74,0,Champions,Marissa Hernandez,Central,Corporate
CUST-00232,22,23,23276.95,0,Champions,Vincent Rivera,North,Corporate
CUST-00233,73,15,22430.96,2,Loyal Customers,Jessica Fox,South,Consumer
CUST-00234,130,19,20501.99,3,At Risk,Charles Pitts,South,Consumer
CUST-00235,32,9,10053.630000000001,1,Occasional / Low-Value,Richard Baker,East,Consumer
CUST-00236,184,3,2602.77,3,At Risk,Marie Christian,North,Corporate
CUST-00237,32,16,28678.41,0,Champions,Kimberly Finley,East,Consumer
CUST-00238,18,14,13165.64,1,Occasional / Low-Value,Olivia Brennan,Central,Corporate
CUST-00239,34,13,14203.96,1,Occasional / Low-Value,Cynthia Cohen,East,Consumer
CUST-00240,2,13,6568.68,1,Occasional / Low-Value,Nicole Hamilton MD,West,Home Office
CUST-00241,52,10,11964.02,1,Occasional / Low-Value,Ashlee Jackson,South,Corporate
CUST-00242,6,12,17735.5,2,Loyal Customers,Amber Flynn,East,Consumer
CUST-00243,11,18,21547.54,0,Champions,Jeffrey Sanchez,West,Consumer
CUST-00244,18,14,12356.85,1,Occasional / Low-Value,Rebecca Jackson,West,Consumer
CUST-00245,13,13,15679.98,1,Occasional / Low-Value,Janet Vega,East,Corporate
CUST-00246,46,21,22020.94,0,Champions,Briana Murray,West,Consumer
CUST-00247,16,10,10344.539999999999,1,Occasional / Low-Value,Michael Nolan,South,Corporate
CUST-00248,7,12,14225.78,1,Occasional / Low-Value,Megan Moore,Central,Home Office
CUST-00249,20,10,6279.5599999999995,1,Occasional / Low-Value,Victoria Evans,South,Consumer
CUST-00250,2,14,15888.03,2,Loyal Customers,Joyce Turner,East,Consumer
CUST-00251,8,13,15706.89,1,Occasional / Low-Value,Ashley James,North,Consumer
CUST-00252,27,17,27738.1,0,Champions,Wendy Phillips,East,Consumer
CUST-00253,75,15,16099.05,2,Loyal Customers,Denise Knight,West,Consumer
CUST-00254,135,17,23400.29,3,At Risk,Valerie Lozano,North,Home Office
CUST-00255,26,7,12748.52,1,Occasional / Low-Value,Tanner Mitchell DDS,East,Corporate
CUST-00256,37,8,14519.78,1,Occasional / Low-Value,Colleen Lee,Central,Consumer
CUST-00257,35,20,26321.46,0,Champions,Michelle Hopkins,Central,Consumer
CUST-00258,13,22,32276.62,0,Champions,Brent Burton,Central,Consumer
CUST-00259,4,24,27055.22,0,Champions,Jeremiah Riley,North,Consumer
CUST-00260,24,16,20267.56,2,Loyal Customers,Theodore Murphy,South,Home Office
CUST-00261,11,18,17188.85,2,Loyal Customers,Carlos Ryan,South,Corporate
CUST-00262,2,15,16111.369999999999,2,Loyal Customers,Susan Rivas,South,Corporate
CUST-00263,19,12,14408.87,1,Occasional / Low-Value,Terry Coffey,East,Home Office
CUST-00264,9,11,15821.31,1,Occasional / Low-Value,Gina Wilson,North,Consumer
CUST-00265,12,18,20152.27,2,Loyal Customers,Vincent Dalton,North,Corporate
CUST-00266,9,12,8623.119999999999,1,Occasional / Low-Value,Jennifer Singleton,South,Corporate
CUST-00267,18,15,21955.079999999998,2,Loyal Customers,Richard Smith,South,Corporate
CUST-00268,4,14,21815.44,2,Loyal Customers,Jacob Curry,East,Consumer
CUST-00269,50,18,22422.15,0,Champions,Samantha Bentley,East,Home Office
CUST-00270,9,25,24943.62,0,Champions,Kaitlyn Harvey,East,Consumer
CUST-00271,34,17,28838.82,0,Champions,Leonard Holland,South,Consumer
CUST-00272,4,16,17721.829999999998,2,Loyal Customers,Susan Turner,East,Consumer
CUST-00273,16,16,24159.8,2,Loyal Customers,Andrew Johnson,Central,Consumer
CUST-00274,135,15,17052.47,3,At Risk,David Medina,North,Corporate
CUST-00275,38,8,10196.6,1,Occasional / Low-Value,Michael Paul,South,Consumer
CUST-00276,20,7,6030.04,1,Occasional / Low-Value,Patrick Moore,North,Consumer
CUST-00277,39,10,10414.89,1,Occasional / Low-Value,Sandra Gilbert,West,Consumer
CUST-00278,64,22,25291.47,0,Champions,Amanda Wood,Central,Consumer
CUST-00279,26,16,19175.46,2,Loyal Customers,David Cox,South,Corporate
CUST-00280,25,14,11934.73,1,Occasional / Low-Value,Steven Newman,North,Corporate
CUST-00281,15,15,14004.82,2,Loyal Customers,Colton Martinez,North,Consumer
CUST-00282,69,13,13923.88,1,Occasional / Low-Value,Anna Lewis,South,Corporate
CUST-00283,23,13,12418.52,1,Occasional / Low-Value,Alison Buchanan,East,Home Office
CUST-00284,33,16,11591.32,1,Occasional / Low-Value,Rachel Harris DVM,North,Consumer
CUST-00285,106,22,17950.06,0,Champions,Daniel Kane,Central,Consumer
CUST-00286,2,11,11835.14,1,Occasional / Low-Value,Rachel Carlson,West,Home Office
CUST-00287,13,11,11703.92,1,Occasional / Low-Value,Brianna Anderson,North,Consumer
CUST-00288,18,14,19348.41,2,Loyal Customers,Ashley Delacruz,Central,Home Office
CUST-00289,29,15,18288.739999999998,2,Loyal Customers,Richard Young,South,Corporate
CUST-00290,46,11,15543.7,1,Occasional / Low-Value,Derek Martinez,West,Consumer
CUST-00291,153,11,14081.85,3,At Risk,Nichole Alvarez,North,Consumer
CUST-00292,95,18,15868.919999999998,2,Loyal Customers,Kevin Hayes,East,Corporate
CUST-00293,15,24,22499.69,0,Champions,Amanda Logan,East,Corporate
CUST-00294,14,17,18553.48,2,Loyal Customers,Elizabeth Schneider,Central,Corporate
CUST-00295,17,16,17975.26,2,Loyal Customers,John Morales,South,Consumer
CUST-00296,8,15,19810.37,2,Loyal Customers,Micheal Wallace,West,Consumer
CUST-00297,41,16,15174.45,2,Loyal Customers,Lee Jones,West,Consumer
CUST-00298,79,10,11165.689999999999,1,Occasional / Low-Value,Lauren Joseph,Central,Consumer
CUST-00299,9,8,9376.02,1,Occasional / Low-Value,Kerry Chavez DDS,West,Consumer
CUST-00300,50,27,31527.22,0,Champions,Ashley Pena,North,Consumer
CUST-00301,6,15,16607.37,2,Loyal Customers,Michelle Lewis,South,Consumer
CUST-00302,3,22,29086.06,0,Champions,Jennifer Wilcox,West,Consumer
CUST-00303,28,13,10318.31,1,Occasional / Low-Value,Brandon Simmons,South,Consumer
CUST-00304,11,13,17681.4,2,Loyal Customers,Troy Mcdaniel,Central,Consumer
CUST-00305,75,13,12355.44,1,Occasional / Low-Value,Ronald Davis,East,Consumer
CUST-00306,76,12,11678.34,1,Occasional / Low-Value,Jacqueline Anderson,East,Consumer
CUST-00307,123,10,12610.13,3,At Risk,Kristina Rivera,Central,Corporate
CUST-00308,36,15,12056.85,1,Occasional / Low-Value,Shane Pugh,Central,Corporate
CUST-00309,36,14,13200.81,1,Occasional / Low-Value,Michelle Schmitt,South,Consumer
CUST-00310,5,20,17639.87,2,Loyal Customers,Brian Romero,North,Corporate
CUST-00311,14,13,13329.550000000001,1,Occasional / Low-Value,Courtney Rodriguez,West,Corporate
CUST-00312,118,9,11766.98,3,At Risk,Ashley Ramirez,East,Corporate
CUST-00313,10,11,11782.59,1,Occasional / Low-Value,Sarah Villegas,West,Consumer
CUST-00314,14,17,16402.03,2,Loyal Customers,Megan Hawkins,Central,Corporate
CUST-00315,39,22,21144.9,0,Champions,Sandra Adams,South,Home Office
CUST-00316,73,11,15526.73,1,Occasional / Low-Value,Phillip Dorsey,Central,Corporate
CUST-00317,47,10,10719.59,1,Occasional / Low-Value,Sergio Knight,East,Corporate
CUST-00318,45,16,21291.17,2,Loyal Customers,Patrick Bonilla,North,Consumer
CUST-00319,23,27,30374.32,0,Champions,Cindy Barnes,South,Consumer
CUST-00320,1,20,24698.2,0,Champions,Eric Nguyen,East,Consumer
CUST-00321,38,13,8104.6900000000005,1,Occasional / Low-Value,Sophia Moore,East,Corporate
CUST-00322,20,15,12897.66,1,Occasional / Low-Value,Megan Nelson,South,Consumer
CUST-00323,12,15,14875.960000000001,2,Loyal Customers,Lawrence Perry,Central,Consumer
CUST-00324,4,20,22909.63,0,Champions,Ashley Jordan,East,Corporate
CUST-00325,19,15,16872.96,2,Loyal Customers,Leslie Rose,North,Consumer
CUST-00326,11,11,9939.62,1,Occasional / Low-Value,James Greene,East,Corporate
CUST-00327,57,16,16882.51,2,Loyal Customers,Tony Saunders,West,Corporate
CUST-00328,75,18,20835.07,2,Loyal Customers,Garrett Smith,Central,Home Office
CUST-00329,8,20,29941.14,0,Champions,Carl Patel,Central,Consumer
CUST-00330,19,18,20038.6,2,Loyal Customers,Sandra Drake,West,Consumer
CUST-00331,7,17,22019.23,2,Loyal Customers,Patrick Graham,Central,Consumer
